dataset,model,graph_seed,init_seed,lr,test_best,best_val,nde,effective_rank,rank_ratio,pairwise
PubMed,GraphSAGE,1,47,0.003,0.39936748147010803,0.3995943069458008,0.0,1.0000402927398682,0.0078128147870302,0.0
PubMed,GraphSAGE,1,65,0.003,0.39936748147010803,0.3995943069458008,0.0,1.0,0.0078125,1.1920928955078125e-07
PubMed,GraphSAGE,1,83,0.003,0.39936748147010803,0.3995943069458008,0.0,1.0,0.0078125,1.1920928955078125e-07
PubMed,GraphSAGEPairNorm,1,11,0.03,0.8379378318786621,0.8458417654037476,2.6634497573489706,5.50247859954834,0.0429881140589714,0.9989926218986512
PubMed,GraphSAGEPairNorm,1,29,0.03,0.8270183205604553,0.8453346490859985,2.6958774331319906,4.863075256347656,0.037992775440216,0.9950478672981262
PubMed,GraphSAGEPairNorm,1,47,0.03,0.8314934968948364,0.8488843441009521,2.613653088187733,5.206150531768799,0.0406730510294437,0.999120593070984
PubMed,GraphSAGEPairNorm,1,65,0.03,0.8311355113983154,0.8443204760551453,2.7249129860037318,5.341760158538818,0.0417325012385845,0.9987103939056396
PubMed,GraphSAGEPairNorm,1,83,0.03,0.8310161232948303,0.8402636647224426,2.483188276273424,5.154399394989014,0.0402687452733516,0.991949200630188
PubMed,GraphSAGE,1,11,0.03,0.39936748147010803,0.3995943069458008,1.706935483104965e-16,1.2704777717590332,0.0099256075918674,0.0
PubMed,GraphSAGE,1,29,0.03,0.39936748147010803,0.3995943069458008,2.0142973709488617e-15,1.2808600664138794,0.0100067192688584,0.0
PubMed,GraphSAGE,1,47,0.03,0.39996418356895447,0.40060850977897644,2.5165609468083975e-17,1.1081520318984983,0.008657437749207,-1.1920928955078125e-07
PubMed,GraphSAGE,1,65,0.03,0.39936748147010803,0.3995943069458008,7.24405118248774e-26,1.000043511390686,0.0078128399327397,-1.1920928955078125e-07
PubMed,GraphSAGE,1,83,0.03,0.39936748147010803,0.3995943069458008,1.4938302417826704e-22,1.0005673170089722,0.0078169321641325,1.1920928955078125e-07
PubMed,GraphSAGEPairNorm,2,11,0.001,0.6678202748298645,0.6754563450813293,2.357827039163316,5.336368560791016,0.0416903793811798,0.9727628827095032
PubMed,GraphSAGEPairNorm,2,29,0.001,0.6693120002746582,0.6724137663841248,2.525475661395846,4.838463306427002,0.0378004945814609,0.966217279434204
PubMed,GraphSAGEPairNorm,2,47,0.001,0.6709230542182922,0.6759634613990784,2.4532896492148755,5.297014236450195,0.0413829237222671,0.9724609851837158
PubMed,GraphSAGEPairNorm,2,65,0.001,0.6640610694885254,0.6729208827018738,2.471068630251368,5.282051086425781,0.0412660241127014,0.9768368601799012
PubMed,GraphSAGEPairNorm,2,83,0.001,0.6673429012298584,0.6744421720504761,2.4608551317453955,4.894004821777344,0.0382344126701355,0.9753551483154296
PubMed,GraphSAGE,2,11,0.001,0.39936748147010803,0.3995943069458008,0.0,1.0000808238983154,0.0078131314367055,-1.1920928955078125e-07
PubMed,GraphSAGE,2,29,0.001,0.39936748147010803,0.3995943069458008,5.805943161733089e-18,1.0248171091079712,0.008006383664906,1.1920928955078125e-07
