dataset,model,depth,seed,best_epoch,best_val,test_best,target_h,realized_h
RW-PubMed-H0.9-LOW,GraphSAGE,4,3,2032,0.900608479976654,0.8909242749214172,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGE,4,4,1708,0.8909736275672913,0.8890745043754578,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGE,4,5,141,0.8853955268859863,0.8865683674812317,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGE,7,1,53,0.9041581749916077,0.8882988095283508,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGE,7,2,1307,0.8914806842803955,0.8803627490997314,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGE,7,3,1495,0.8935090899467468,0.8789306879043579,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGE,7,4,2012,0.889452338218689,0.8860313892364502,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGE,7,5,167,0.8848884105682373,0.8819738626480103,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGE,8,1,1130,0.9077078700065613,0.8890148401260376,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGE,8,2,600,0.9011155962944031,0.8856733441352844,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGE,8,3,1288,0.8909736275672913,0.8774986267089844,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGE,8,4,903,0.8945233225822449,0.8886567950248718,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GraphSAGE,8,5,1,0.3995943069458008,0.39936748147010803,0.9,0.8999864459037781
RW-Roman-empire-H0.1-LOW,GCNPairNorm,2,1,622,0.343336284160614,0.322846919298172,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCNPairNorm,2,2,393,0.3256840407848358,0.32632508873939514,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCNPairNorm,2,3,1116,0.3336275517940521,0.329336017370224,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCNPairNorm,2,4,211,0.34245365858078003,0.32663655281066895,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCNPairNorm,2,5,111,0.3270079493522644,0.33369672298431396,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCNPairNorm,4,1,15,0.24669019877910614,0.2491304576396942,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCNPairNorm,4,2,12,0.24492497742176056,0.24092820286750793,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCNPairNorm,4,3,8,0.2599293887615204,0.24549654126167297,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCNPairNorm,4,4,8,0.23830538988113403,0.25681358575820923,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCNPairNorm,4,5,10,0.24536629021167755,0.2517780065536499,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCNPairNorm,8,1,11,0.20255957543849945,0.1980999857187271,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCNPairNorm,8,2,20,0.190644308924675,0.18911904096603394,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCNPairNorm,8,3,15,0.2065313309431076,0.18891137838363647,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCNPairNorm,8,4,18,0.1893203854560852,0.20516015589237213,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCNPairNorm,8,5,635,0.19285084307193756,0.17427192628383636,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCN,2,1,2256,0.42762577533721924,0.42054715752601624,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCN,2,2,2086,0.4135039746761322,0.4114623963832855,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCN,2,3,2329,0.42718446254730225,0.41758811473846436,0.1,0.0999787375330925
RW-Roman-empire-H0.1-LOW,GCN,2,4,1932,0.43468669056892395,0.4130197763442993,0.1,0.0999787375330925
