model,distance,width,graph_seed,init_seed,layers,best_epoch,test_acc,matched_influence,distractor_influence,specificity
GraphSAGERewired,10,2,1,29,10,4,1.0,0.03627060621511191,4.892036328807414e-07,0.9999865125487053
GraphSAGERewired,10,2,1,47,10,5,1.0,0.007953748339787126,2.3699361872964175e-07,0.9999702042927204
GraphSAGERewired,10,2,2,11,10,5,1.0,0.04990161382011138,6.355144437364402e-07,0.9999872647936277
GraphSAGERewired,10,2,2,29,10,4,1.0,0.0312195576261729,9.973238481730817e-07,0.9999680555054279
GraphSAGERewired,10,2,2,47,10,5,1.0,0.005513105003046803,2.3276727778576145e-07,0.9999577808784006
GraphSAGERewired,10,2,3,11,10,4,1.0,0.00891671079898515,2.1483135664857045e-07,0.9999759073513079
GraphSAGERewired,10,2,3,29,10,3,1.0,0.0023447978082913323,2.695799902197038e-07,0.9998850433930164
GraphSAGERewired,10,2,3,47,10,4,1.0,0.001181211625407741,1.9597294576012558e-07,0.9998341182620906
GraphSAGERewired,10,2,4,11,10,3,1.0,0.007231904749460227,2.046759758345118e-07,0.9999716988552348
GraphSAGERewired,10,2,4,29,10,4,1.0,0.01347385184635641,7.014959422235734e-07,0.9999479391320549
GraphSAGERewired,10,2,4,47,10,5,1.0,0.00962250265001785,8.210078592529868e-07,0.9999146855194363
GraphSAGERewired,10,2,5,11,10,4,1.0,0.01778552765972563,3.470755901568978e-07,0.9999804858296091
GraphSAGERewired,10,2,5,29,10,5,1.0,0.11246744869276881,9.956531976662575e-07,0.9999911472573177
GraphSAGERewired,10,2,5,47,10,4,1.0,0.0031202540558297187,3.9033584256498166e-07,0.999874917871616
GraphSAGE,10,4,1,11,10,43,0.6442057291666666,0.06855037197237834,0.0688670989475213,0.49884757384188333
GraphSAGE,10,4,1,29,10,117,0.6790364583333334,3.124717168218922,0.8283686318900436,0.7904501258566154
GraphSAGE,10,4,1,47,10,37,0.6458333333333334,0.06939961906755343,0.06714619905687869,0.508251516013492
GraphSAGE,10,4,2,11,10,389,0.7392578125,2.1935460750755738,1.3888655042246683,0.6123098997752319
GraphSAGE,10,4,2,29,10,12,0.6350911458333334,0.0038101411832940357,0.003769555941573799,0.5026772336708368
GraphSAGE,10,4,2,47,10,11,0.6350911458333334,0.010336238040054013,0.01015571070547594,0.5044048356701225
GraphSAGE,10,4,3,11,10,26,0.6295572916666666,0.0751104824594222,0.07534470118116587,0.4992216329239223
GraphSAGE,10,4,3,29,10,194,0.7330729166666666,3.436373382486636,0.9309008058835389,0.7868462648021353
GraphSAGE,10,4,3,47,10,30,0.6380208333333334,0.0664354077889584,0.06679873977554962,0.4986364907411871
GraphSAGE,10,4,4,11,10,69,0.634765625,0.07684032979886979,0.07670073112240061,0.5004545972088204
GraphSAGE,10,4,4,29,10,21,0.6363932291666666,0.07735537679400295,0.0772747490555048,0.5002607116079569
GraphSAGE,10,4,4,47,10,33,0.6360677083333334,0.06739009753800929,0.06752681120997295,0.4994933412193055
GraphSAGE,10,4,5,11,10,55,0.6409505208333334,0.07118032278958708,0.06868565792683512,0.5089180544438181
GraphSAGE,10,4,5,29,10,28,0.6373697916666666,0.08124658931046724,0.08079079014714807,0.5014064630144046
GraphSAGE,10,4,5,47,10,90,0.6442057291666666,0.07213333423715085,0.06711106025613844,0.5180340257080093
GraphSAGERewired,10,4,1,11,10,4,1.0,0.004208538788589067,3.4293591139045176e-07,0.9999185206585129
GraphSAGERewired,10,4,1,29,10,4,1.0,0.03917361018829979,2.241374766231985e-06,0.9999427868016457
GraphSAGERewired,10,4,1,47,10,5,1.0,0.007176697165050427,1.59790265508164e-06,0.9997773978862964
GraphSAGERewired,10,4,2,11,10,5,1.0,0.051517039799364284,7.716788015255105e-07,0.9999850211066936
GraphSAGERewired,10,4,2,29,10,3,1.0,0.004305674712668406,4.322236701326254e-07,0.9998996251889647
GraphSAGERewired,10,4,2,47,10,5,1.0,0.008071497693890706,4.184507124138648e-07,0.999948159556558
